inferenceTimeLocal,numberOfSegmentsLocal,inferenceTimeRemote1,totalExecutionTimeRemote1,numberOfSegmentsRemote1,inferenceTimeRemote2,totalExecutionTimeRemote2,numberOfSegmentsRemote2
105,3,2,3724,11,2,3577,11
87,3,1,3405,11,2,3392,11
90,2,1,3243,9,2,3436,9
96,1,2,3650,9,1,3761,9
94,1,1,3744,12,2,3643,12
96,2,2,3233,9,2,3413,9
98,2,2,3265,7,2,3389,7
91,1,1,3179,9,2,3119,9
95,1,2,3378,9,2,3484,9
102,1,2,3264,7,2,3231,7
94,2,2,3429,8,1,3194,8
97,3,2,3494,12,2,3454,12
97,1,2,3098,7,2,3076,7
98,3,2,3168,6,2,3250,6
95,2,1,3218,7,1,3110,7
98,3,2,3279,10,1,3324,10
96,2,2,3522,7,1,3332,7
96,1,2,3350,12,2,3567,12
99,2,1,3415,8,2,3350,8
91,3,2,3559,9,2,4035,9
94,3,2,3880,8,2,4231,8
92,3,2,3825,9,2,3611,9
96,2,1,3472,11,2,3353,11
102,2,1,3355,9,2,3642,9
96,1,1,3919,10,2,3381,10
93,1,1,3461,10,2,3408,10
103,3,2,3492,10,2,4315,10
97,2,2,3386,9,2,3188,9
93,1,1,3304,8,2,3429,8
105,3,2,3772,7,1,3358,7
98,2,2,3296,9,1,3517,9
96,4,2,3373,11,2,3527,11
100,1,1,3637,15,2,3730,15
95,2,2,3601,11,1,3431,11
100,2,1,3652,11,2,3455,11
98,2,2,3424,11,2,3509,11
99,2,2,3484,9,1,3451,9
97,3,2,3604,9,2,3771,9
102,2,1,4011,13,2,3829,13
98,3,2,3659,11,2,3676,11
104,2,2,3471,6,2,3440,6
102,3,2,3577,9,2,3597,9
96,2,1,3539,8,2,3727,8
93,3,2,3648,12,2,3962,12
103,2,2,3733,11,2,3620,11
95,3,2,3826,10,1,3724,10
94,1,2,3393,10,1,3288,10
96,1,1,3544,11,2,3290,11
95,2,1,3521,12,2,3431,12
93,2,2,3529,12,2,3548,12
101,3,2,3515,9,1,3479,9
105,1,2,3821,12,1,3767,12
94,3,1,3656,9,2,3637,9
96,2,2,3719,10,2,3733,10
101,1,1,4323,11,2,3848,11
103,2,1,4035,8,2,3558,8
94,1,2,3433,9,2,3408,9
99,2,2,3449,9,1,3420,9
99,1,1,3720,9,2,3632,9
93,2,2,3423,9,2,4163,9
101,2,2,4435,9,2,4162,9
98,3,1,3540,10,2,3471,10
100,1,2,3558,10,1,3406,10
104,3,1,3742,12,2,3665,12
98,2,2,3700,9,1,3425,9
102,2,2,3912,10,2,3985,10
101,2,2,3846,11,1,3578,11
99,1,2,3376,7,1,3317,7
99,4,2,3433,10,2,3605,10
99,4,1,3495,6,2,3634,6
101,3,2,3566,8,2,3709,8
101,3,2,3691,9,2,4093,9
96,3,2,3799,14,1,3605,14
93,2,2,3511,9,2,3616,9
100,2,2,3706,11,2,3795,11
103,3,1,3389,8,2,3385,8
98,1,2,3775,12,2,3803,12
94,1,1,3681,9,2,3603,9
98,2,1,4047,9,1,3848,9
98,2,1,3795,15,2,3727,15
96,2,2,3872,11,2,3801,11
105,2,2,3487,9,1,3576,9
105,2,2,3533,11,2,3709,11
103,2,2,3435,9,1,3634,9
101,2,2,3420,12,1,3252,12
104,3,2,3434,11,1,3384,11
100,2,2,3417,10,2,3660,10
106,4,2,3772,13,1,3520,13
101,2,2,3469,10,2,3570,10
104,4,2,3699,10,2,3520,10
102,2,2,3369,13,1,3339,13
94,2,2,3442,12,1,3337,12
103,2,1,3644,9,2,3573,9
97,2,2,3490,12,2,3562,12
99,2,1,3831,10,2,3482,10
101,1,1,3365,3,2,3254,3
100,2,1,3489,9,2,3209,9
94,1,2,3633,11,2,3501,11
95,1,2,3557,9,2,3704,9
